business_size,business_stage,industry,revenue_trend,marketing_spend_pct,acquisition_trend,pricing_strategy,capacity_utilisation,workforce_size,attrition_rate_bucket,skill_gap_level,salary_competitiveness,workload_level,risk_tolerance,budget_flexibility,hiring_feasibility,planned_marketing_change,planned_retention_invest,hiring_plan,growth_target_hit,high_attrition_risk,expected_attrition_cost
51-200,Scaling,Services,Growing_fast,5-10,Stable,Low-cost,Optimal,108,10-20,Some skill gaps,Market-aligned,Sustainable,High,Flexible,Easy,0,0,Replace only,0,1,63050.35
11-50,Growth,Tech,Flat,5-10,Declining,Market-average,Optimal,34,5-10,Fully covered,Market-aligned,Sustainable,Low,Moderate,Moderate,+10,0,Replace only,1,1,20352.09
200+,Early-stage,Retail,Growing_slowly,<5,Stable,Premium,Over-stretched,480,<5,Fully covered,Above market,High,Medium,Moderate,Easy,+10,+5,Replace only,0,0,252805.6
51-200,Scaling,Tech,Declining,>20,Increasing,Market-average,Over-stretched,137,<5,Fully covered,Below market,High,Low,Very limited,Moderate,0,0,Replace only,0,1,95720.26
1-10,Early-stage,Tech,Declining,<5,Stable,Premium,Optimal,9,5-10,Fully covered,Below market,Unsustainable,Medium,Moderate,Moderate,+20,+5,Replace only,0,1,7462.11
200+,Scaling,Services,Growing_slowly,5-10,Declining,Market-average,Optimal,469,5-10,Fully covered,Market-aligned,Sustainable,High,Very limited,Easy,+5,+10,Replace only,0,0,173927.41
51-200,Growth,Retail,Declining,<5,Stable,Premium,Optimal,121,<5,Fully covered,Below market,Unsustainable,High,Moderate,Difficult,+5,+5,Freeze,1,1,105296.87
51-200,Early-stage,Other,Growing_slowly,>20,Increasing,Market-average,Over-stretched,114,10-20,Some skill gaps,Market-aligned,Sustainable,Medium,Very limited,Difficult,+5,0,Replace only,0,1,85429.84
1-10,Early-stage,Finance,Growing_slowly,10-20,Stable,Low-cost,Optimal,7,5-10,Some skill gaps,Market-aligned,Sustainable,Low,Moderate,Easy,+10,+3,Net new hires,1,1,4267.67
11-50,Scaling,Other,Declining,5-10,Stable,Low-cost,Over-stretched,30,10-20,Some skill gaps,Market-aligned,High,Medium,Moderate,Moderate,+20,+3,Freeze,0,1,20251.85
11-50,Growth,Finance,Flat,>20,Declining,Market-average,Optimal,32,>20,Some skill gaps,Market-aligned,Unsustainable,Medium,Moderate,Easy,+5,+5,Net new hires,0,0,31680.69
200+,Mature,Finance,Growing_slowly,<5,Stable,Premium,Over-stretched,473,5-10,Fully covered,Market-aligned,High,Medium,Flexible,Difficult,0,0,Net new hires,0,1,236800.48
51-200,Scaling,Tech,Growing_fast,>20,Increasing,Market-average,Over-stretched,147,>20,Fully covered,Market-aligned,Sustainable,Medium,Moderate,Moderate,+5,+5,Net new hires,1,1,106411.12
51-200,Scaling,Retail,Flat,<5,Increasing,Low-cost,Optimal,117,<5,Some skill gaps,Below market,High,Medium,Very limited,Moderate,0,+3,Freeze,1,0,85163.18
11-50,Growth,Tech,Growing_fast,5-10,Stable,Low-cost,Over-stretched,30,10-20,Some skill gaps,Market-aligned,Sustainable,Medium,Very limited,Difficult,+5,+3,Net new hires,0,0,21963.29
1-10,Scaling,Tech,Growing_fast,<5,Increasing,Market-average,Optimal,9,>20,Fully covered,Market-aligned,High,Medium,Very limited,Moderate,+20,0,Freeze,0,0,6617.6
11-50,Mature,Tech,Growing_slowly,>20,Stable,Premium,Optimal,24,10-20,Significant gaps,Below market,Unsustainable,Low,Moderate,Difficult,+10,0,Replace only,1,0,23345.15
1-10,Early-stage,Finance,Flat,>20,Increasing,Market-average,Over-stretched,9,<5,Some skill gaps,Below market,High,Medium,Very limited,Easy,+5,+5,Replace only,0,1,7229.07
51-200,Growth,Finance,Growing_slowly,5-10,Declining,Market-average,Optimal,94,5-10,Significant gaps,Market-aligned,High,Medium,Moderate,Easy,0,0,Replace only,1,0,69257.35
51-200,Early-stage,Other,Growing_fast,<5,Stable,Market-average,Optimal,131,5-10,Some skill gaps,Market-aligned,High,Medium,Moderate,Moderate,+5,0,Replace only,0,1,93732.27
51-200,Growth,Other,Flat,5-10,Increasing,Premium,Optimal,111,>20,Fully covered,Market-aligned,High,Medium,Flexible,Difficult,0,+3,Net new hires,1,0,85888.4
11-50,Scaling,Other,Growing_fast,5-10,Increasing,Premium,Over-stretched,36,<5,Significant gaps,Below market,Sustainable,Medium,Very limited,Easy,+20,0,Freeze,1,1,32269.32
200+,Growth,Tech,Growing_fast,5-10,Increasing,Low-cost,Under-utilised,590,5-10,Significant gaps,Below market,Sustainable,Medium,Flexible,Moderate,0,+5,Replace only,1,1,298958.07
200+,Growth,Other,Growing_slowly,<5,Increasing,Market-average,Optimal,393,5-10,Some skill gaps,Above market,High,Low,Flexible,Difficult,+10,0,Net new hires,1,0,313900.35
51-200,Growth,Finance,Growing_slowly,10-20,Increasing,Premium,Optimal,101,5-10,Significant gaps,Below market,High,Medium,Moderate,Easy,0,+3,Replace only,1,1,84733.51
1-10,Early-stage,Other,Growing_slowly,10-20,Increasing,Premium,Optimal,8,5-10,Significant gaps,Above market,Sustainable,Low,Moderate,Moderate,+5,0,Net new hires,1,0,4979.12
11-50,Growth,Tech,Growing_slowly,>20,Stable,Market-average,Optimal,43,5-10,Some skill gaps,Market-aligned,High,Medium,Moderate,Easy,+20,+3,Net new hires,1,0,23030.95
1-10,Mature,Tech,Growing_fast,5-10,Stable,Low-cost,Optimal,8,5-10,Fully covered,Market-aligned,High,Medium,Very limited,Easy,+5,+3,Replace only,0,1,5869.21
1-10,Scaling,Other,Declining,5-10,Increasing,Market-average,Over-stretched,8,5-10,Some skill gaps,Market-aligned,Unsustainable,Medium,Flexible,Moderate,+5,+5,Replace only,0,0,5733.43
51-200,Growth,Tech,Declining,5-10,Stable,Market-average,Optimal,123,5-10,Some skill gaps,Above market,Unsustainable,Medium,Flexible,Difficult,-10,0,Freeze,0,1,112775.47
51-200,Scaling,Services,Flat,<5,Increasing,Market-average,Over-stretched,101,5-10,Some skill gaps,Above market,Sustainable,Low,Moderate,Easy,0,0,Net new hires,1,1,51854.06
200+,Early-stage,Services,Growing_fast,10-20,Stable,Premium,Over-stretched,462,5-10,Some skill gaps,Market-aligned,High,Medium,Very limited,Moderate,+5,0,Freeze,0,0,403115.59
11-50,Growth,Tech,Flat,10-20,Declining,Low-cost,Under-utilised,32,10-20,Some skill gaps,Market-aligned,High,Low,Very limited,Moderate,0,0,Replace only,0,0,21741.37
11-50,Early-stage,Tech,Growing_fast,<5,Stable,Premium,Over-stretched,41,5-10,Significant gaps,Market-aligned,High,High,Moderate,Moderate,+5,0,Replace only,1,0,28476.1
11-50,Mature,Other,Growing_slowly,5-10,Increasing,Market-average,Optimal,39,5-10,Some skill gaps,Below market,Sustainable,Medium,Flexible,Moderate,0,+10,Replace only,0,0,22670.63
1-10,Scaling,Other,Flat,>20,Declining,Low-cost,Under-utilised,6,<5,Fully covered,Above market,High,Medium,Very limited,Moderate,0,0,Replace only,1,0,2913.86
1-10,Scaling,Other,Growing_fast,5-10,Increasing,Market-average,Optimal,7,<5,Some skill gaps,Below market,Unsustainable,Low,Moderate,Difficult,+10,0,Freeze,1,1,5815.68
11-50,Early-stage,Tech,Growing_slowly,5-10,Declining,Market-average,Over-stretched,37,10-20,Fully covered,Market-aligned,Sustainable,High,Flexible,Difficult,+10,+10,Replace only,0,1,27496.0
1-10,Early-stage,Tech,Flat,10-20,Stable,Premium,Under-utilised,6,>20,Fully covered,Market-aligned,Sustainable,Medium,Moderate,Easy,+20,+5,Replace only,1,0,3216.24
51-200,Scaling,Services,Declining,5-10,Increasing,Market-average,Optimal,100,<5,Some skill gaps,Market-aligned,Sustainable,Medium,Moderate,Moderate,0,0,Replace only,0,0,54008.41
11-50,Growth,Services,Declining,<5,Stable,Low-cost,Optimal,32,5-10,Significant gaps,Market-aligned,Sustainable,Medium,Moderate,Moderate,0,+5,Replace only,1,0,24143.09
